Steps,User Time,Real Time,Growth Rate,QC position,Average Pressure,Average Sigma,Average Cell Growth,Average Vertex Velocity,Average Auxin Cytoplasm,Std Auxin Cytoplasm,Average Auxin Intercellular,Average PIN Cytoplasm,Average PIN Membrane,Average AUX1 Cytoplasm,Average Auxin Diffusion,Average Auxin Export,Average PIN1 Expression,Average PIN1 Trafficking,Anisotropy degree
21,0.63,0.6,22.9488,-0.487912 -14.1984 0,0,0,0.00825989,0.257973,0.150182,0.277734,0.0624216,0.446041,0.267247,5.67061,0,0.0211748,13.6905,10.7469,2.32289
22,0.66,0.63,21.9194,-0.487407 -14.2083 0,0,0,0.00863456,0.274234,0.15843,0.28117,0.0625572,0.464671,0.281929,5.80114,0,0.0365136,14.1429,11.22,2.32204
23,0.69,0.66,20.9808,-0.486841 -14.2191 0,0,0,0.00901344,0.290391,0.166588,0.284613,0.0627898,0.482919,0.296114,5.94771,0,0.0383173,14.535,11.6488,2.32123
24,0.72,0.69,20.1218,-0.486184 -14.2309 0,0,0,0.00939547,0.30636,0.174674,0.288398,0.0630273,0.500601,0.3096,6.11376,0,0.0389976,14.9475,12.0571,2.32047
25,0.75,0.72,19.3326,-0.485473 -14.2433 0,0,0,0.00977907,0.322058,0.182607,0.292552,0.0632731,0.517857,0.322371,6.29056,0,0.038841,15.5157,12.4743,2.3197
26,0.78,0.75,18.605,-0.484803 -14.2567 0,0,0,0.0101571,0.337922,0.190372,0.296842,0.0634594,0.53602,0.334683,6.46805,0,0.0298754,16.32,12.945,2.31894
27,0.81,0.78,17.9325,-0.484223 -14.2711 0,0,0,0.0105112,0.354548,0.198084,0.300988,0.0634346,0.556713,0.347051,6.63352,0,0.00989908,17.2727,13.5084,2.31843
28,0.84,0.81,17.3092,-0.483768 -14.2869 0,0,0,0.0108735,0.371916,0.205876,0.304695,0.0631067,0.580208,0.359975,6.78052,0,-0.0112232,18.1266,14.1614,2.31814
29,0.87,0.84,16.7305,-0.483547 -14.3044 0,0,0,0.0112552,0.389424,0.213801,0.307784,0.062569,0.604602,0.373765,6.9094,0,-0.0185212,18.7312,14.8361,2.31798
30,0.9,0.87,16.1928,-0.483378 -14.3236 0,0,0,0.0116704,0.406807,0.221751,0.31028,0.0620877,0.627582,0.388251,7.03314,0,-0.00429536,19.1153,15.4605,2.31766
31,0.93,0.9,0.213435,-0.483211 -14.3439 0,0,0,0.0121067,0.42409,0.229572,0.312438,0.0619067,0.64766,0.402757,7.16308,0,0.020572,19.4556,15.9997,2.31744
32,0.96,0.93,0.235335,-0.483074 -14.3651 0,0,0,0.0125592,0.441445,0.237199,0.314519,0.0620232,0.665711,0.416923,7.28902,0,0.0352261,19.9771,16.488,2.31712
33,0.99,0.96,0.258288,-0.48309 -14.3869 0,0,0,0.0130211,0.459136,0.244718,0.316662,0.0621891,0.683193,0.430713,7.40443,0,0.0283975,20.5759,16.9857,2.3167
34,1.02,0.99,0.28213,-0.483361 -14.4094 0,0,0,0.0134891,0.477367,0.252238,0.318981,0.062158,0.700094,0.44438,7.51017,0,0.0110139,21.066,17.4768,2.31622
35,1.05,1.02,0.30689,-0.484031 -14.4327 0,0,0,0.0139584,0.496068,0.259741,0.321774,0.061941,0.716336,0.458022,7.60713,0,0.00460026,21.4773,17.9211,2.31566
36,1.08,1.05,0.332609,-0.485111 -14.4569 0,0,0,0.014429,0.514855,0.267085,0.325471,0.0617892,0.73203,0.471283,7.70841,0,0.0194769,21.8206,18.3233,2.315
37,1.11,1.08,0.359144,-0.486499 -14.4819 0,0,0,0.0148991,0.53359,0.274153,0.330433,0.0619547,0.7472,0.483994,7.83628,0,0.0461464,22.1951,18.703,2.30137
38,1.14,1.11,0.38629,-0.488057 -14.5077 0,0,0,0.0153698,0.552311,0.281006,0.336789,0.0624469,0.76364,0.49622,7.98592,0,0.0630304,22.8674,19.1004,2.30057
39,1.17,1.14,0.413943,-0.489462 -14.5338 0,0,0,0.0158449,0.571294,0.287885,0.34433,0.0630281,0.783889,0.508484,8.13499,0,0.059731,23.7511,19.597,2.2996
40,1.2,1.17,0.441422,-0.489985 -14.5592 0,0,0,0.0163468,0.591417,0.295024,0.352538,0.0634722,0.806669,0.521435,8.27505,0,0.0468263,24.4496,20.1885,2.2988
41,1.23,1.2,0.467566,-0.489697 -14.5846 0,0,0,0.0168737,0.612249,0.302457,0.360786,0.0637812,0.829304,0.535244,8.40797,0,0.0424355,24.9528,20.787,2.28389
42,1.26,1.23,0.4931,-0.488997 -14.6102 0,0,0,0.0174253,0.633142,0.310065,0.368589,0.0641374,0.851189,0.549888,8.54353,0,0.0526591,25.4341,21.3477,2.283
43,1.29,1.26,0.518632,-0.488812 -14.6363 0,0,0,0.0180057,0.654955,0.317717,0.375637,0.0646815,0.872638,0.565082,8.69751,0,0.0668826,25.9929,21.8774,2.28202
44,1.32,1.29,0.543974,-0.489953 -14.6627 0,0,0,0.0186116,0.678388,0.325372,0.381686,0.0653537,0.894148,0.580491,8.86162,0,0.0698524,26.7299,22.3963,2.28104
45,1.35,1.32,0.568819,-0.492163 -14.6895 0,0,0,0.0192536,0.70216,0.333068,0.386467,0.0659332,0.916719,0.596111,9.01731,0,0.0558121,27.6136,22.9414,2.27977
